incident_id,date,city_or_county,n_killed,n_injured,total,month,day,weekday,year,latitude,longitude
460726,2013-01-01,Hawthorne,1,3,4,Jan,1,Tueday,2013,33.909,-118.333
479389,2013-01-21,Brentwood,0,4,4,Jan,21,Monday,2013,37.9656,-121.71799999999999
479580,2013-02-03,Yuba (county),1,3,4,Feb,3,Sunday,2013,39.1236,-121.583
480311,2013-02-11,Vallejo,1,4,5,Feb,11,Monday,2013,38.1072,-122.228
480358,2013-02-19,Orange (county),4,3,7,Feb,19,Tueday,2013,33.8031,-117.943
480407,2013-02-23,Lancaster,0,4,4,Feb,23,Saturday,2013,34.6666,-118.131
481213,2013-03-04,Los Banos,1,3,4,Mar,4,Monday,2013,37.0857,-120.82799999999999
482801,2013-03-13,Oceanside,2,2,4,Mar,13,Wednesday,2013,33.2498,-117.309
482838,2013-03-14,Modesto,0,4,4,Mar,14,Thursday,2013,37.626,-121.01100000000001
482926,2013-03-16,Galt,0,7,7,Mar,16,Saturday,2013,38.2436,-121.31200000000001
482934,2013-03-17,Stockton,2,3,5,Mar,17,Sunday,2013,37.9531,-121.266
483835,2013-03-30,Merced (county),3,2,5,Mar,30,Saturday,2013,37.3603,-120.654
483878,2013-04-07,Long Beach,1,3,4,Apr,7,Sunday,2013,33.8479,-118.19
484279,2013-04-10,Vallejo,0,4,4,Apr,10,Wednesday,2013,38.1519,-122.26100000000001
486056,2013-05-05,Palo Alto,0,5,5,May,5,Sunday,2013,37.4717,-122.14
486109,2013-05-10,Los Angeles,3,1,4,May,10,Friday,2013,33.8447,-118.307
486971,2013-05-24,Bakersfield,2,2,4,May,24,Friday,2013,35.3998,-118.95200000000001
489314,2013-06-01,Vallejo,2,2,4,Jun,1,Saturday,2013,38.1472,-122.24
489581,2013-06-07,Santa Monica,6,1,7,Jun,7,Friday,2013,34.025999999999996,-118.461
489096,2013-06-23,Sacramento,1,3,4,Jun,23,Sunday,2013,38.4655,-121.459
490048,2013-06-27,Three Rivers,2,2,4,Jun,27,Thursday,2013,36.4144,-118.925
490893,2013-07-07,Stockton,1,4,5,Jul,7,Sunday,2013,37.9218,-121.29799999999999
490943,2013-07-12,San Francisco,1,3,4,Jul,12,Friday,2013,37.7649,-122.42299999999999
491046,2013-07-17,Oakland,1,3,4,Jul,17,Wednesday,2013,37.7976,-122.212
491073,2013-07-19,Madera,0,4,4,Jul,19,Friday,2013,36.9613,-120.061
491473,2013-08-04,Salinas,3,4,7,Aug,4,Sunday,2013,36.6799,-121.60600000000001
491819,2013-08-17,San Francisco,0,4,4,Aug,17,Saturday,2013,37.7767,-122.419
479646,2013-08-25,Oakland,0,4,4,Aug,25,Sunday,2013,37.7389,-122.169
480394,2013-09-17,Stockton,2,3,5,Sep,17,Tueday,2013,37.9625,-121.27600000000001
480582,2013-09-20,Long Beach,2,2,4,Sep,20,Friday,2013,33.8728,-118.171
480765,2013-10-05,Fresno,1,12,13,Oct,5,Saturday,2013,36.7054,-119.76
492699,2013-10-27,Roseville,0,4,4,Oct,27,Sunday,2013,38.7354,-121.226
492570,2013-10-27,Vallejo,1,6,7,Oct,27,Sunday,2013,38.1517,-122.25
492985,2013-11-03,Perris,0,5,5,Nov,3,Sunday,2013,33.8249,-117.227
492950,2013-11-03,Los Angeles,1,3,4,Nov,3,Sunday,2013,33.9454,-118.399
495145,2013-11-25,Oakland,0,7,7,Nov,25,Monday,2013,37.7488,-122.165
495195,2013-11-29,Fresno,0,4,4,Nov,29,Friday,2013,36.7297,-119.81
93832,2013-12-29,Duarte,0,2,2,Dec,29,Sunday,2013,34.1204,-117.992
92393,2014-01-01,Merced,1,0,1,Jan,1,Wednesday,2014,37.3389,-120.49700000000001
92389,2014-01-01,Fresno,2,0,2,Jan,1,Wednesday,2014,36.736999999999995,-119.773
95232,2014-01-01,Glendale,0,1,1,Jan,1,Wednesday,2014,34.1481,-118.209
92162,2014-01-01,Los Angeles,0,1,1,Jan,1,Wednesday,2014,34.1259,-118.186
92386,2014-01-01,Bakersfield,0,2,2,Jan,1,Wednesday,2014,35.3229,-119.038
92380,2014-01-02,Huntington,0,1,1,Jan,2,Thursday,2014,33.7201,-117.985
92378,2014-01-02,San Jose,1,0,1,Jan,2,Thursday,2014,37.333,-121.88799999999999
93348,2014-01-02,National City,1,0,1,Jan,2,Thursday,2014,32.6733,-117.08200000000001
93346,2014-01-02,Vista,0,0,0,Jan,2,Thursday,2014,33.194,-117.235
92391,2014-01-02,Chico,0,0,0,Jan,2,Thursday,2014,39.731,-121.896
92689,2014-01-02,San Diego,0,1,1,Jan,2,Thursday,2014,32.5453,-117.045
210410,2014-01-03,Vista,0,2,2,Jan,3,Friday,2014,33.1626,-117.21799999999999
92691,2014-01-03,Visalia,0,1,1,Jan,3,Friday,2014,36.3196,-119.346
92694,2014-01-03,Fresno,0,1,1,Jan,3,Friday,2014,36.7745,-119.83
93003,2014-01-03,Planada,0,1,1,Jan,3,Friday,2014,37.2842,-120.323
92681,2014-01-03,San Jose,0,1,1,Jan,3,Friday,2014,37.3382,-121.88600000000001
92996,2014-01-03,Fairfield,1,0,1,Jan,3,Friday,2014,38.272,-122.024
93059,2014-01-04,Redding,0,0,0,Jan,4,Saturday,2014,40.5334,-122.385
105114,2014-01-04,Compton,1,0,1,Jan,4,Saturday,2014,33.9111,-118.23899999999999
93747,2014-01-04,Cathedral City,0,1,1,Jan,4,Saturday,2014,33.8448,-116.45100000000001
93056,2014-01-04,Pomona,0,1,1,Jan,4,Saturday,2014,34.0476,-117.76100000000001
93053,2014-01-04,Hawaiian Gardens,0,1,1,Jan,4,Saturday,2014,33.8295,-118.07700000000001
103931,2014-01-04,San Bernardino,0,2,2,Jan,4,Saturday,2014,34.1468,-117.257
935154,2014-01-04,Oakland,1,0,1,Jan,4,Saturday,2014,37.7759,-122.22200000000001
93350,2014-01-04,San Leandro,0,0,0,Jan,4,Saturday,2014,37.6939,-122.184
93349,2014-01-04,Oakland,0,0,0,Jan,4,Saturday,2014,37.7397,-122.156
93360,2014-01-05,Bakersfield,0,1,1,Jan,5,Sunday,2014,35.3112,-119.01299999999999
103924,2014-01-05,Modesto,1,2,3,Jan,5,Sunday,2014,37.6159,-121.012
93362,2014-01-05,Salinas,0,1,1,Jan,5,Sunday,2014,36.6867,-121.62
103920,2014-01-05,Hacienda Heights,0,1,1,Jan,5,Sunday,2014,33.9979,-117.96
93364,2014-01-05,Santa Maria,0,0,0,Jan,5,Sunday,2014,34.959,-120.527
93357,2014-01-05,Bakersfield,1,0,1,Jan,5,Sunday,2014,35.3532,-119.05
93051,2014-01-05,Los Angeles,1,0,1,Jan,5,Sunday,2014,33.9455,-118.274
93744,2014-01-06,Oakland,0,2,2,Jan,6,Monday,2014,37.7676,-122.169
105125,2014-01-06,Stockton,0,1,1,Jan,6,Monday,2014,38.0222,-121.289
93352,2014-01-06,Sacramento,1,0,1,Jan,6,Monday,2014,38.4662,-121.43299999999999
93817,2014-01-06,Long Beach,1,0,1,Jan,6,Monday,2014,33.7701,-118.194
93815,2014-01-06,Santa Ana,0,0,0,Jan,6,Monday,2014,33.7345,-117.868
174362,2014-01-07,Los Angeles,1,0,1,Jan,7,Tueday,2014,33.9277,-118.24600000000001
108885,2014-01-07,Fresno,0,2,2,Jan,7,Tueday,2014,36.7652,-119.745
94041,2014-01-07,Chico,0,0,0,Jan,7,Tueday,2014,39.7213,-121.84700000000001
94038,2014-01-07,Chico,0,0,0,Jan,7,Tueday,2014,39.7702,-121.85
105139,2014-01-07,Glendale,0,1,1,Jan,7,Tueday,2014,34.1462,-118.23200000000001
94363,2014-01-07,Chico,0,0,0,Jan,7,Tueday,2014,39.7385,-121.875
94063,2014-01-07,Mckinleyville,0,0,0,Jan,7,Tueday,2014,40.9564,-124.113
94296,2014-01-07,Oakland,0,2,2,Jan,7,Tueday,2014,37.7461,-122.156
